SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
https://www.mirror.co.uk/news/world-news/texas-shooting-aunt-hero-teacher-27092108,"['USA', 'USA', 'UAF']","['UNITED STATES', 'TEXAS', 'GUNMAN']","[nan, nan, nan]","[nan, 'COP', 'USA']","[nan, 'POLICE', 'UNITED STATES']","[17, 51, 190]","[1, 5, 19]","[17, 51, 190]","[0.0, 3.4, -10.0]","[-6.90909090909091, -6.90909090909091, -6.90909090909091]"
https://www.mirror.co.uk/news/world-news/texas-shooting-what-gun-laws-27063713,['MIL'],['MILITARY'],[nan],[nan],[nan],[100],[10],[100],[-5.0],[-4.75352112676056]
https://www.mirror.co.uk/news/world-news/vladimir-putin-looks-weak-could-27069489,['EDU'],['UNIVERSITY'],[nan],['USAEDU'],['UNITED STATES'],[13],[1],[13],[0.4],[-3.28697850821745]
https://www.mirror.co.uk/tv/tv-news/gmbs-kate-garraway-clashes-guest-27068719,['GBR'],['BRITAIN'],[nan],[nan],[nan],[190],[19],[190],[-10.0],[-1.29310344827587]
https://www.missioncityrecord.com/news/bulldog-willpower-and-work-ethic-jason-kenney-led-alberta-through-covid-oil-crash/,['CANGOV'],['ALBERTA'],[nan],['CANGOV'],['JASON KENNEY'],[14],[1],[14],[0.0],[-3.50968960085343]
https://www.missioncityrecord.com/news/police-waited-45-minutes-to-breach-classroom-in-uvalde-believing-kids-not-at-risk/,"['LAB', 'EDU']","['STAFF MEMBER', 'SCHOOL']","[nan, nan]","['EDU', 'LAB']","['SCHOOL', 'STAFF MEMBER']","[193, 193]","[19, 19]","[193, 193]","[-10.0, -10.0]","[-3.77358490566038, -3.77358490566038]"
https://www.mississippivalleypublishing.com/daily_democrat/daily_democrat/climate-change-was-not-invented-to-sell-electric-cars/article_74b0e770-6faf-5740-998b-5d75588dbd4e.html,"['GOV', 'MED', 'USAGOV']","['CHIEF EXECUTIVE', 'MEDIA', 'UNITED STATES']","[nan, nan, nan]","['BUS', nan, 'BUS']","['INVESTOR', nan, 'INVESTOR']","[13, 311, 13]","[1, 3, 1]","[13, 31, 13]","[0.4, 5.2, 0.4]","[-1.01522842639593, -1.01522842639593, -1.01522842639593]"
https://www.mississippivalleypublishing.com/daily_democrat/keokuks-juneteenth-event-celebrates-freedom/article_0581fa91-a56e-5f89-9b0c-6969661570ed.html,['USA'],['UNITED STATES'],[nan],[nan],[nan],[70],[7],[70],[7.0],[3.81679389312977]
https://www.mississippivalleypublishing.com/daily_gate/daily_gate/keokuks-juneteenth-event-celebrates-freedom/article_2dbad3b6-5a83-5e48-8f03-fa9c38528bc2.html,['USA'],['UNITED STATES'],[nan],[nan],[nan],[70],[7],[70],[7.0],[3.83877159309021]
https://www.mississippivalleypublishing.com/daily_gate/keokuks-juneteenth-event-celebrates-freedom/article_2dbad3b6-5a83-5e48-8f03-fa9c38528bc2.html,['USA'],['UNITED STATES'],[nan],[nan],[nan],[70],[7],[70],[7.0],[3.83877159309021]
https://www.mitchellrepublic.com/news/national/abortion-and-the-supreme-court-a-short-legal-history-of-roe,"['JUD', 'JUD']","['SUPREME COURT', 'SUPREME COURT']","[nan, nan]","['USA', nan]","['NEW YORK', nan]","[60, 129]","[6, 12]","[60, 129]","[6.0, -5.0]","[-3.59281437125749, -3.59281437125749]"
https://www.mix1069.com/2022/05/24/two-dead-14-injured-in-elementary-school-shooting-in-texas/,['USA'],['TEXAS'],[nan],['USAMED'],['REUTERS'],[193],[19],[193],[-10.0],[-6.08039715133375]
https://www.mlbtraderumors.com/2022/05/no-immediate-plans-for-mitch-garver-to-return-to-catcher.html,['USA'],['TEXAS'],[nan],[nan],[nan],[42],[4],[42],[1.9],[-0.681598334914985]
