SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
https://www.sandiegouniontribune.com/2025/01/07/opinion-lets-put-people-over-profit-enough-with-the-immigration-threats/,['CVL'],['IMMIGRANT'],[nan],['CRM'],['CRIMINAL'],[173],[17],[173],[-5.0],[-4.16666666666666]
https://www.sandiegouniontribune.com/2025/01/08/california-wildfires-evacuation-tips/,"['GOVAGR', 'MED']","['DEPARTMENT OF AGRICULTURE', 'RADIO STATION']","[nan, nan]","[nan, nan]","[nan, nan]","[20, 10]","[2, 1]","[20, 10]","[3.0, 0.0]","[-3.35466937544682, -3.05688224226055]"
https://www.sandiegouniontribune.com/2025/01/08/southern-california-wildfires-add-to-growing-worries-about-homeowner-insurance/,"['GOV', 'GOV', 'GOV', 'USA', 'USA', 'GOV']","['PRESIDENT', 'PRESIDENT', 'PRESIDENT', 'CALIFORNIA', 'UNITED STATES', 'PRESIDENT']","[nan, nan, nan, nan, nan, nan]","['USA', 'USA', 'USA', 'GOV', nan, 'USA']","['UNITED STATES', 'UNITED STATES', 'UNITED STATES', 'PRESIDENT', nan, 'UNITED STATES']","[10, 80, 80, 10, 90, 10]","[1, 8, 8, 1, 9, 1]","[10, 80, 80, 10, 90, 10]","[0.0, 5.0, 5.0, 0.0, -2.0, 0.0]","[-2.86113049546406, -2.86113049546406, -2.86113049546406, -2.08030880406234, -3.1404851771583, -2.81285786015777]"
https://www.sandiegouniontribune.com/2025/01/10/no-heat-no-water-no-school-in-rural-san-diego-county-power-shutoffs-pose-their-own-public-safety-risks/,['USA'],['CALIFORNIA'],[nan],['BUS'],['INVESTOR'],[80],[8],[80],[5.0],[-1.70777988614801]
https://www.sandiegouniontribune.com/2025/01/10/sticking-with-bullet-train-fiasco-a-bad-look-for-democrats/,['USA'],['CALIFORNIA'],[nan],['BUS'],['INVESTOR'],[172],[17],[172],[-5.0],[-2.24440338242302]
https://www.sandiegouniontribune.com/2025/01/15/biden-admin-to-forgive-debt-for-students-of-former-san-diego-based-ashford-university/,['JUD'],['APPEALS COURT'],[nan],['EDU'],['UNIVERSITY'],[1241],[12],[124],[-4.0],[-1.18064083956682]
https://www.sandiegouniontribune.com/2025/01/22/opinion-legislature-must-force-approval-of-cheaper-fuel-blend-it-could-save-20-cents-a-gallon/,"['LEG', 'USA']","['SENATE', 'CALIFORNIA']","[nan, nan]","['USA', 'LEG']","['CALIFORNIA', 'SENATE']","[42, 43]","[4, 4]","[42, 43]","[1.9, 2.8]","[2.20588235294118, 2.20588235294118]"
https://www.sandiegouniontribune.com/2025/02/04/opinion-latinos-need-access-to-health-information-they-trust-heres-whats-missing/,['USA'],['SAN DIEGO'],[nan],['ltn'],['LATINOS'],[20],[2],[20],[3.0],[2.58249641319943]
https://www.santacruzsentinel.com/2025/01/02/year-in-review-pro-palestinian-protesters-form-camp-at-uc-santa-cruz/,"[nan, 'USAEDU', 'USAEDU', 'USAGOV']","[nan, 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA']","[nan, nan, nan, nan]","['EDU', 'USA', 'USA', 'USA']","['SCHOOL', 'CALIFORNIA', 'CALIFORNIA', 'CALIFORNIA']","[110, 10, 51, 51]","[11, 1, 5, 5]","[110, 10, 51, 51]","[-2.0, 0.0, 3.4, 3.4]","[-1.65647651990182, -3.43698854337153, -3.43698854337153, -3.43698854337153]"
https://www.santacruzsentinel.com/2025/01/03/santa-cruz-county-fair-manager-announces-resignation/,"['BOL', 'USA', 'BOL']","['SANTA CRUZ', 'UNITED STATES', 'SANTA CRUZ']","[nan, nan, nan]","['USA', nan, nan]","['UNITED STATES', nan, nan]","[831, 831, 831]","[8, 8, 8]","[83, 83, 83]","[5.0, 5.0, 5.0]","[8.00031969309464, 8.00031969309464, 8.00031969309464]"
https://www.santacruzsentinel.com/2025/01/04/california-almost-legalized-psychedelics-now-supporters-are-looking-for-a-good-test-case/,"['LEG', 'LEG', 'LEG', 'USA']","['LAWMAKER', 'LAWMAKER', 'LAWMAKER', 'CALIFORNIA']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[12, 71, 120, 30]","[1, 7, 12, 3]","[12, 71, 120, 30]","[-0.4, 7.4, -4.0, 4.0]","[0.57183702644747, 0.57183702644747, 0.57183702644747, -0.74256249943449]"
https://www.santacruzsentinel.com/2025/01/04/can-california-keep-ice-away-from-schools-lawmakers-want-to-try-as-crackdowns-loom/,['USALEG'],['CALIFORNIA'],[nan],['EDU'],['STUDENT'],[20],[2],[20],[3.0],[-3.77358490566038]
https://www.santacruzsentinel.com/2025/01/04/santa-cruz-wharf-reopens-to-community-fanfare/,"['USA', 'USA']","['UNITED STATES', 'UNITED STATES']","[nan, nan]","[nan, 'BOL']","[nan, 'SANTA CRUZ']","[51, 51]","[5, 5]","[51, 51]","[3.4, 3.4]","[1.24526496003019, 1.24526496003019]"
https://www.santacruzsentinel.com/2025/01/06/letter-carters-dubious-foreign-policy-accomplishments/,"['CAN', 'PAN']","['CANADA', 'PANAMA']","[nan, nan]","['USA', nan]","['UNITED STATES', nan]","[80, 71]","[8, 7]","[80, 71]","[5.0, 7.4]","[-0.6993006993007, -0.6993006993007]"
https://www.santamariasun.com/news/political-watch-january-2-2025-16203566,"['GOV', 'GOV', 'BUS', 'BUS', 'LEG', 'USA', 'USA']","['GOVERNOR', 'GOVERNOR', 'INDUSTRY', 'INDUSTRY', 'SENATE', 'UNITED STATES', 'UNITED STATES']","[nan, nan, nan, nan, nan, nan, nan]","['BUS', 'USA', 'GOV', 'GOV', 'USA', 'BUS', 'GOV']","['INDUSTRY', 'UNITED STATES', 'GOVERNOR', 'GOVERNOR', 'UNITED STATES', 'INDUSTRY', 'GOVERNOR']","[46, 46, 22, 46, 51, 22, 46]","[4, 4, 2, 4, 5, 2, 4]","[46, 46, 22, 46, 51, 22, 46]","[7.0, 7.0, 3.2, 7.0, 3.4, 3.2, 7.0]","[-0.69444444444444, -0.69444444444444, -0.69444444444444, -0.69444444444444, -0.69444444444444, -0.69444444444444, -0.69444444444444]"
https://www.sbs.com.au/news/article/five-killed-thousands-displaced-as-los-angeles-wildfires-rage-out-of-control/ejuagkcuv,"['USA', 'MED']","['UNITED STATES', 'TELEVISION']","[nan, nan]","['MED', nan]","['TELEVISION', nan]","[1712, 1712]","[17, 17]","[171, 171]","[-9.2, -9.2]","[-6.30769230769231, -6.30769230769231]"
https://www.sbs.com.au/news/article/in-pictures-destruction-and-chaos-as-fires-devastate-los-angeles/1tijt9nq4,['USA'],['CALIFORNIA'],[nan],['SLV'],['SANTA ANA'],[174],[17],[174],[-5.0],[-7.00280112044818]
https://www.sbs.com.au/news/article/pacific-palisades-fire-mass-evacuations-mansions-ablaze-as-wildfire-rages-in-los-angeles/pu6ynob3q,"['USA', 'USA', 'USA', 'GOV']","['UNITED STATES', 'CALIFORNIA', 'CALIFORNIA', 'PRESIDENT']","[nan, nan, nan, nan]","[nan, 'GOV', 'USAGOV', 'USA']","[nan, 'PRESIDENT', 'UNITED STATES', 'CALIFORNIA']","[111, 130, 70, 162]","[11, 13, 7, 16]","[111, 130, 70, 162]","[-2.0, -4.4, 7.0, -5.6]","[-0.391212280578205, -4.24929178470255, -4.24929178470255, -4.24929178470255]"
https://www.sbs.com.au/news/article/raging-wildfires-near-los-angeles-kill-at-least-two-people/ejuagkcuv,['USA'],['UNITED STATES'],[nan],['MED'],['TELEVISION'],[1712],[17],[171],[-9.2],[-6.53465346534653]
https://www.sbs.com.au/news/article/what-caused-the-devastating-la-wildfires-and-how-theyve-spread-so-rapidly/nldfveien,['USA'],['UNITED STATES'],[nan],[nan],[nan],[12],[1],[12],[-0.4],[-3.3442088091354]
