Topic,top_words,seed_coverage
1,"['virginia', 'beach', 'virginia beach', 'year', 'say', 'police', 'state', 'kill', 'shooting', 'people']",0.4
0,"['catholic', 'know', 'train', 'man', 'epperly', 'conductor', 'long', 'awning', 'bland', 'freeze']",0.0
