signal,cp,cp_shifted,thr,response_scores
dist_smooth_to_prev_smooth,"[4, 9]",[-3  2],1.8389861864073824,"[0.0, 0.0, 0.2519638065902009, 1.269203305202362, 3.014325621782671, 2.1388098612714157, 0.33989596506483655, 0.010112495754980397, 1.822698883888082, 2.6200087211676886, 1.9041353964845826, 0.0, 0.3323035514042742, 1.0901993696804166, 0.5443995617859213, 0.0, 0.5382467243720066, 0.4184660837832416, 0.5715554396757354, 1.0806322865692328, 0.7752636186774227, 0.0, 0.9581791374911915, 1.6069021270870827, 0.30999916600509897, 0.0, 0.3581785545033053, 0.33061248305594654, 1.3132370808394949, 1.6089642765907353, 0.8686120366086806, 0.0, 0.22370529164145542, 0.3384495579543839, 0.0, 0.6002841578747229, 0.7925761636166376, 0.0, 0.5]"
n_docs,"[9, 11, 15]",[2 4 8],2.105396714289128,"[0.0, 0.13090635544350143, 0.0, 0.3037027446289237, 0.7351700921707052, 0.5855179466276942, 0.20660164641515194, 0.03437496168862017, 1.426738104920457, 4.277916395070425, 7.231849228875947, 5.523666672213756, 0.6553756187703349, 0.0, 1.2651880765788222, 2.506424659868008, 2.0051397278944063, 1.5713851934546503, 1.322561332485471, 0.8289629439622499, 0.4013576442827979, 0.8447115372002438, 1.7557466621690834, 1.4373239185961424, 0.5280539465202809, 0.2260836240509722, 0.31177325468427974, 0.34759837033004987, 0.6380711737336688, 0.870449416456565, 0.5, 0.0, 0.1355901543300978, 0.30951545551592696, 0.1494325978301157, 0.03379450915883254, 0.21310278361086593, 0.22457512743103428, 0.0]"
dispersion,"[9, 11, 14]",[2 4 7],2.1751432261730526,"[0.0, 0.6683893219560361, 0.2212899360020536, 0.08317303198293005, 0.5287975264184749, 0.9884399858326975, 0.5, 0.228729905725136, 1.5615980489354497, 3.8897440795771345, 5.673418335218654, 3.59969522074294, 0.0, 0.9883237755239044, 2.4440197000187935, 2.107924107711616, 0.6526767647258487, 1.1453514719549673, 1.6394285129752693, 0.22134657538745883, 0.18325263328413963, 0.5663503468332268, 1.0685574843104297, 0.721920455245112, 0.25645843501166116, 0.02684498436335832, 0.1118918379644556, 0.011905596220953408, 0.3629450307444847, 0.35183225677961893, 0.7612195439546041, 0.22154848802029956, 0.05563215513088816, 0.6512627175175076, 0.8918268691504828, 0.13579420748233742, 0.057235616745314626, 0.40788255101767396, 0.2707105510622768]"
curvature,"[9, 13, 15]",[2 6 8],2.4235656258065292,"[0.0, 0.0, 1.2247420131827442, 1.4307258628349078, 0.5, 0.0, 0.0, 0.0, 1.414467855465263, 2.88739322522359, 0.7328024579118373, 0.45602854748803384, 1.2718200489526632, 2.4603592207321294, 3.4911285334988977, 3.1440133059377886, 2.414367227075129, 2.3902267778175568, 2.310943420104813, 2.143299034829441, 1.8845667926692748, 1.4988941102184745, 1.3645281002742389, 1.4111057922966794, 0.45295359636960175, 0.0, 0.0, 0.056012172225505585, 1.2901369524574762, 0.502485618486627, 0.0, 0.0, 0.141536562714278, 0.11616549941038906, 0.06195981380067939, 0.1341427025993979, 0.2989157971361326, 0.021958581044821384, 0.13565757823647576]"
drift_from_baseline,"[9, 15, 35]",[ 2  8 28],1.5875517596245672,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5161228160317075, 3.0571443910497904, 1.7817904250624788, 0.24537302855350573, 0.31928341884108213, 0.9371957244445464, 1.5219105873459455, 1.641293301188488, 1.3889330747745638, 1.2146412306010002, 0.90575666676882, 0.29036684067995217, 0.3169308150200526, 0.7342491266549759, 1.041307205210397, 0.8495293054511374, 0.5, 0.19642872887617663, 0.0, 0.008058507493077165, 0.06070398765983995, 0.012124296635682916, 0.25705396171753525, 0.4903471341734968, 0.869383373907841, 1.3325154372882464, 1.5741163742335866, 1.6693450590657486, 1.149413646105545, 0.7673912824925966, 0.9898637330741734]"
