signal,cp,cp_shifted,thr,response_scores
dist_smooth_to_prev_smooth,"[5, 15, 38]",[-2  8 31],2.0501793509182833,"[0.0, 0.0, 0.20458388590190382, 1.6225952779081774, 1.4366187681989133, 2.3620713816468255, 4.150429031871588, 1.4707101840472048, 0.0, 1.0432233120768413, 0.6791635080483904, 0.9443833848948335, 0.5007259131975973, 0.0, 0.9598001848361727, 2.071557684721976, 2.04483476746736, 1.7212584128079444, 1.0831646960016876, 0.5, 0.5158862512716631, 0.4896082658805014, 0.6448057533021522, 0.8719665419286738, 0.5423856152429056, 0.07310351968062097, 0.0, 0.0, 0.010416143939455821, 0.23920455801978166, 0.49449314560375907, 0.27455491034424545, 0.0, 0.16735545136701513, 0.13385490406757192, 0.2370055318432525, 0.09630121088152248, 0.09106288146444952, 2.897590710586859]"
n_docs,"[5, 7, 12]",[-2  0  5],1.480429598918523,"[0.0, 0.006741813395085888, 0.017528714827223308, 0.03627095606556203, 0.0023191838079095273, 1.7032840968387937, 3.236312056233303, 2.105494427586787, 0.46412731755888526, 0.0, 0.0, 0.8388965049179985, 1.6294269596659965, 1.443180258731654, 1.053417006059035, 0.0, 0.5606167741561664, 0.5506668826152591, 0.0, 0.7021230729590435, 0.7177346463243224, 0.2640643008855077, 0.39338381827421653, 1.1013712752693148, 0.6271633366629316, 0.0, 0.3955599201619657, 0.7592005500571399, 0.5062332391194241, 0.0, 0.8148404503960232, 0.6846624568828791, 0.0, 0.28152322966393695, 0.5, 0.8382178706805828, 0.0, 0.6469984093388018, 0.41625584995531034]"
dispersion,"[8, 10, 38]",[ 1  3 31],1.6527230125051788,"[0.0, 0.018410472852504065, 0.07695806149897368, 0.16837425335191988, 1.0553287410897358, 1.4901912422326125, 0.6937605782393099, 0.6249270161101618, 1.9314301522302915, 3.667913582653211, 2.938115044511487, 1.5830462275738995, 0.8843321335896461, 0.0, 0.05063894456888051, 0.02213561650225758, 0.5, 0.6089350680593675, 0.7256988100689538, 1.0664071269442703, 0.6661102454631238, 0.554814282068208, 0.8447013068616787, 0.6563052222687079, 0.20419760256871997, 0.11166169753457385, 0.10685934066208028, 0.25410613002568927, 0.516478058010993, 0.4874363159744224, 0.31374312407587507, 0.11004686458651655, 0.050247749032123507, 0.05365033720903862, 0.12167319769323837, 0.011584482667627988, 0.3139123790379434, 0.5224465003979822, 2.4111056175312995]"
curvature,"[5, 15]",[-2  8],1.6251374078242298,"[0.0, 0.0, 0.08969856173437628, 1.0139791729673242, 1.4161247226662668, 2.0458782848138015, 2.6622282940162108, 1.3950339894579196, 1.2693501260207203, 1.58954662047205, 1.3132022945838853, 0.779119222617778, 0.0, 0.4803067894317621, 1.3670535569698437, 1.7675005572329459, 1.8296438095136103, 1.4912092004429784, 0.5, 0.0375096345235387, 0.32506513632123907, 0.6222859463338346, 0.8991865781533585, 0.787072833517133, 0.19321797601258753, 0.06506191465326823, 0.18205289739705496, 0.10562653961562524, 0.1436536126326841, 0.3442417844748321, 0.9302083359992113, 0.93376502941602, 0.18555402808848354, 0.0, 0.431689586095031, 0.22026947128727511, 0.31999627550998966, 0.4458874876982722, 1.079182986902939]"
drift_from_baseline,"[13, 15]",[6 8],2.3601576624118015,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15017351991061917, 0.4021303117163593, 0.8007884044011534, 1.5834135192873011, 2.3441647067927143, 2.7422524444657306, 2.8881290310987104, 2.7719222747248624, 2.42412948488815, 2.0471985998798976, 1.7648744211120162, 1.5822396204239249, 1.46042764508999, 1.2673899159042648, 1.0464161625750281, 0.9153295989696901, 0.7900479957606916, 0.6671487250951574, 0.5709275450554251, 0.44760827220747956, 0.3202069220518679, 0.26205936703041305, 0.23620383070127163, 0.1688650059232098, 0.11412514253677172, 0.19691205614480606, 0.311291187342238, 0.4013016700332405, 0.5, 0.5129218369562502, 0.6684737500485962]"
