day,word,count,tfidf
21,abbvie,4,0.004409131987997767
21,abortion,4,0.006125265241728508
21,accord,6,0.011302931721864662
21,accuse,4,0.009809858754636504
21,act,9,0.014189760643034139
21,action,4,0.00805336917396151
21,adviser,4,0.009043145748752373
21,advocate,3,0.0024745576562184776
21,affect,3,0.004255569510262786
21,age,3,0.009191305878852541
21,agent,5,0.008419626804448804
21,ago,6,0.013826955371140866
21,aim,4,0.004188792106939072
21,amazon,5,0.006986348114756023
21,american,8,0.011671182747616653
21,angeles,4,0.008097707395267058
21,announce,7,0.01236858850627189
21,anti,4,0.005226666339197267
21,appear,4,0.00846257399347983
21,apple,4,0.008372933656204031
21,approve,4,0.005994948486303362
21,april,4,0.005111461858679248
21,arm,3,0.004537824382980957
21,arrest,5,0.011704554006131945
21,art,3,0.006183580865469348
21,assembly,4,0.005859062300842164
21,attack,4,0.007622904178056811
21,attempt,7,0.01178899370369276
21,attorney,6,0.010691531981055442
21,bar,3,0.008683370902103698
21,base,6,0.011517625928305691
21,big,6,0.014818090831233905
21,bill,8,0.009137510078676192
21,blick,3,0.0044654627509309805
21,business,4,0.009704536062769593
21,call,5,0.00826607677797353
21,canadian,4,0.006183969149406641
21,capitol,5,0.0094548593117784
21,carolina,4,0.004730794569004271
21,case,8,0.01013476809048728
21,catch,3,0.005780514892169587
21,celebrate,4,0.011123695088088944
21,center,4,0.006130544155914984
21,champlain,6,0.0021257880506557153
21,chance,3,0.006733811605320487
21,change,5,0.010742077907349214
21,charge,7,0.018941783472210347
21,chief,4,0.007183310791921413
21,child,3,0.00588757201068072
21,city,10,0.014553351834279828
21,claim,8,0.017775321561381934
21,class,6,0.0069282629357807525
21,close,6,0.008921899940609277
21,coffee,3,0.0033672617330909897
21,come,6,0.00865590341166475
21,community,9,0.010775997225504203
21,company,12,0.013293066073834113
21,complete,4,0.008670779225490706
21,complex,3,0.003290953466730593
21,continue,4,0.0057031552082215
21,convict,3,0.004950203435474059
21,country,5,0.007880951359049126
21,county,7,0.015719324750487013
21,court,8,0.009052695090011782
21,covid,4,0.010101922721555103
21,day,8,0.015955504122585132
21,death,7,0.013301061428411224
21,despite,4,0.007967350489964012
21,die,8,0.01700604530553415
21,discuss,4,0.005893245148856645
21,district,5,0.005617604682465204
21,donald,3,0.006977636196758074
21,donald trump,3,0.006977636196758074
21,ear,4,0.01113582428416503
21,effort,3,0.0035680516631634287
21,electronic,4,0.005253236835243815
21,emerge,3,0.003554363271961253
21,employee,4,0.004246694860441714
21,eviction,3,0.00402389118262734
21,expand,3,0.006178836541760212
21,face,7,0.014244031193269576
21,fair,3,0.002832328737178945
21,fall,4,0.009201816197521934
21,family,3,0.0077910844371500455
21,fashion,3,0.004978390224716921
21,fbi,3,0.0031864685471424815
21,federal,10,0.014574545553484721
21,feel,3,0.008663465813267547
21,festival,3,0.005003722030825739
21,fifth,4,0.0068963256417315134
21,fight,3,0.004284842962807508
21,file,4,0.005101820045725094
21,find,6,0.010528504145532091
21,firm,4,0.005999551097898438
21,flee,3,0.0057830123025454285
21,focus,3,0.0017442346661514464
21,food,5,0.01134478002728138
21,force,5,0.007811290547155136
21,free,5,0.007555032131576659
21,friday,20,0.024179956887193814
21,friday morning,3,0.006713253713216709
21,future,4,0.008167098869155695
21,game,4,0.010080018318332905
21,give,5,0.0072143144822560835
21,gov,3,0.008760823603743384
