Topic,top_words,seed_coverage
0,"['virginia', 'court', 'year', 'beach', 'virginia beach', 'state', 'day', 'kill', 'say', 'police']",0.4
3,"['roanoke', 'operation', 'man', 'virginia', 'police', 'seller', 'rescue', 'belize', 'tax', 'ring']",0.2
1,"['virginia beach', 'baptist', 'convention', 'beach', 'southern', 'shooting', 'municipal', 'meeting', 'monday june', 'people']",0.1
4,"['challenge', 'supreme court', 'supreme', 'founder', 'single', 'regulation', 'court', 'democratic', 'invest', 'virginia']",0.1
2,"['lindh', 'loudoun', 'taliban', 'water', 'google', 'community', 'foundation', 'afp', 'can', 'tell']",0.0
5,"['active shooter', 'active', 'bay', 'aston bay', 'aston', 'delta', 'shooter', 'result', 'accomack', 'drill']",0.0
6,"['work year', 'department', 'work', 'public', 'hernandez', 'public utilities', 'city public', 'utilities', 'engineer work', 'utilities department']",0.0
