day,Actor1EthnicCode_counts,count
-7,chr,1
-4,haw,1
-1,nav,2
6,chy,1
6,ltn,1
12,khm,4
15,ran,2
19,idg,1
20,idg,2
20,nai,1
22,nai,1
22,ran,1
25,nai,1
31,idg,1
