day,Actor1EthnicCode_counts,count
-5,cad,1
-5,sco,2
-5,moh,2
-1,lol,1
0,chy,1
1,sen,6
1,sco,1
1,dak,1
1,chy,2
2,men,1
2,dak,2
2,uig,3
2,haw,1
6,don,1
12,apa,2
12,cor,1
13,chr,1
14,kan,1
15,fan,2
18,nav,1
19,kom,2
20,chr,1
21,cad,1
22,idg,3
23,osa,1
26,afa,2
30,chr,1
31,chr,1
