day,Actor1EthnicCode_counts,count
-2,bar,2
1,idg,1
4,aka,1
4,idg,1
4,afa,2
4,nai,1
7,idg,1
10,nai,3
11,men,3
17,ltn,1
18,idg,1
22,kas,1
23,ltn,2
27,afa,2
