signal,cp,thr,rscores
dist_smooth_to_prev_smooth,"[2, 8, 37]",0.11639514558813913,"[0.0, 0.06572015440809392, 0.18004654909489642, 0.0, 0.0, -0.0124119653768939, 0.037321428245581066, 0.0, 1.405569904089414, 0.9082634963101265, 0.016765970053166473, -0.11452020575402397, -0.150266395612768, -0.19790977418546893, -0.2184024927455672, -0.18846652941202713, -0.3657235794136942, -0.4846972858081384, -0.7190851521081436, -0.31711833136761747, 0.0, -0.3113230171059276, -0.4032866911255391, -0.17855930934944717, -0.11987050636984477, -0.07072156785736392, -0.029848582908337865, 0.05621956853406561, 0.0, -0.02208865570598791, -0.030482431975154736, -0.06238805623552233, -0.03778676539668911, -0.00342748139087391, 0.0007368871574218288, -0.012889881457188793, -0.005222898006391304, 1.3241683318038164, 0.10932276742072154, -0.22176403278953558]"
n_docs,"[9, 37, 39]",0.48745165793650047,"[0.0, -0.007180314832588879, -0.014209363393105573, 0.0177929409386083, 0.017198189164656697, 0.024656830368987505, 0.03880895789038972, 0.001784940326422074, 0.3112684328974327, 1.2413132004948366, 0.7739882323482268, 0.1108565657263916, 0.0, -0.038979398011555394, -0.1048748450065109, -0.16758795969011903, -0.21621470443865362, -0.2067797162347039, -0.2598233607312771, -0.17781478849744467, -0.2046949902923497, -0.45929267173284405, -0.9644526766463287, -0.6270540778598984, -0.30157567617082587, -0.19510259750646483, -0.058655212090219025, 0.00025093347188532894, 0.0, -0.18877605283669005, -0.10341648409382871, -0.05034949179903478, -0.04459610308466783, -0.031514174251656285, 0.0, 0.008108455386460139, 0.020460623990591075, 0.4989853680478088, 0.48617013459079955, 1.170796265166385]"
dispersion,"[8, 10, 37]",0.5236102382419183,"[0.0, -0.042399344500925036, -0.08309710226414889, 0.0, 0.08487824669032612, 0.008239931415727042, 0.07032216321672434, 0.14971043138765633, 0.5665451178886547, 1.127958959374236, 0.5595720277554294, 0.05139671017455803, 0.02151071657853539, -0.04683007406428556, -0.06694838682484183, -0.0857885990927852, -0.05084677064983035, -0.18404973355948723, -0.29370867937131684, -0.4162737839228791, -0.21380309922259136, -0.27918018670547173, 0.26823489605263995, -1.0896856789830494, -0.8075257997777301, 0.0, 0.0, 0.21773705858644232, 0.0, -0.13332002067710289, 0.0, -0.41160814841337673, -0.14766841580813247, -0.20684198750584884, 0.0, -0.029870797260121942, -0.036722551935262054, 1.284220102372837, 0.5196144838515282, 0.04074700823069683]"
curvature,"[14, 16]",0.23298693087533778,"[0.0, 0.10831767440441777, 0.15498804573403263, 0.05982694519294547, 0.08545811342534276, 0.04938967158934701, 0.05442110538882301, 0.03189823918804648, -0.0448452548208855, -0.10498653278249304, -0.00999114544553424, -0.004321564582792754, 0.14142869989110687, 0.1724575128417555, 0.30712152305363394, 0.6163990199505732, 0.7234556184844335, 0.28396914924019845, 0.15773057290941628, 0.22069500966614486, 0.22732223994590872, 0.20457784837100484, 0.11654337777286208, 0.0, 0.032039327504689824, 0.026936287846774157, 0.0, 0.012507174972151962, 0.04208920681172541, 0.04953291264103831, 0.0, -0.004882966295893101, 0.07267189176314946, 0.0, -0.025927885984884425, 0.0, -0.00806390433718423, -0.47694145752902933, 0.0, -0.9654680239280681]"
drift_from_baseline,"[0, 37, 39]",-0.0030773659629837885,"[0.0, -0.0080294940759836, -0.02508739563090476, -0.03549994558327524, -0.0437235834571505, -0.05043755629772069, -0.06423025768210554, -0.06882343452113071, -0.14276188290498443, -0.18300550106707417, -0.20870322258681726, -0.25717625479386513, -0.33428305091109034, -0.5902441578833956, -0.8981950477131498, -0.6102272007552157, -0.24620795621562155, -0.15556049943184505, -0.12068414620842335, -0.10402840574489998, -0.0876345825036837, -0.0672551431576779, -0.043222129137655226, -0.03834415528402775, -0.030343745798911154, -0.0273545980378217, -0.02133887202581813, -0.021895729766069696, -0.018485349645804127, -0.015534680184209849, -0.010808544205372961, -0.008250727184685239, -0.007019090616588945, -0.006031927256812682, -0.007561786198048008, -0.005738688285272073, -0.003419295514426437, 0.036542001007381676, 0.07507373533048184, 0.06316442978672578]"
