Topic,top_words,seed_coverage
3,"['shooting', 'mass', 'california', 'gun', 'monterey', 'mass shooting', 'county', 'kill', 'monterey park', 'park']",0.4
0,"['california', 'gun', 'shooting', 'people', 'half', 'flag', 'year', 'mass', 'new', 'mass shooting']",0.3
1,"['shooting', 'california', 'mass', 'mass shooting', 'park', 'monterey park', 'monterey', 'kill', 'half', 'bay']",0.3
2,"['people', 'know', 'park', 'say', 'monterey park', 'monterey', 'shooting', 'california', 'community', 'like']",0.1
