signal,event_type,baseline,peak_idx,peak_val,amplitude,half_life_days,changepoints
n_docs_norm,disaster,0.029934606783077147,4,0.08533543533558975,0.055400828552512604,8,[4]
n_docs_norm,violence,0.025625033155590497,5,0.05839825244230756,0.032773219286717066,8,[4]
dist_smooth_to_prev_smooth_norm,disaster,0.02918860190163832,3,0.12340816690167497,0.09421956500003664,7,[3]
dist_smooth_to_prev_smooth_norm,violence,0.025957219460081678,4,0.06978023815088137,0.043823018690799694,6,[3]
dispersion_norm,disaster,0.029068769290356757,4,0.07057890289629296,0.041510133605936195,7,[4]
dispersion_norm,violence,0.025353702461509704,4,0.04990866086151303,0.024554958400003324,7,[4]
drift_from_baseline,disaster,0.10970555226967964,19,0.23482166599732138,0.12511611372764175,32,[7]
drift_from_baseline,violence,0.039418535540992186,7,0.07093420143569917,0.03151566589470699,23,[6]
n_topics_active,disaster,5.097101449275362,21,3.4666666666666663,-1.6304347826086958,22,[7]
n_topics_active,violence,5.359166666666667,6,3.6,-1.7591666666666668,7,[11]
weighted_mean_sim,disaster,0.6353696159433713,6,0.5624082301490465,-0.07296138579432476,7,[5]
weighted_mean_sim,violence,0.5230697710928199,4,0.531805217353497,0.008735446260677016,6,[4]
weighted_mean_var,disaster,0.009068228775060002,5,0.03496315434206197,0.025894925567001972,25,[4]
weighted_mean_var,violence,0.012383403442561,4,0.024711639404309454,0.012328235961748455,7,[4]
