Topic 0	Topic 1	Topic 2	Topic 3	Topic 4	Topic 5	Topic 6	Topic 7	Topic 8	Topic 9	Topic 10	Topic 11	Topic 12	Topic 13	Topic 14	Topic 15	Topic 16	Topic 17	Topic 18	Topic 19	Topic 20	Topic 21	Topic 22	Topic 23	Topic 24	Topic 25	Topic 26	Topic 27	Topic 28	Topic 29	Topic 30	Topic 31	Topic 32
0.0	6.542160365409374	6.655709471034889	6.740126800501162	6.0967409554162355	1.0798544503688035	2.2218822537651595	6.429076314892729	24.547552162392087	0.936647477960765	23.98122407966348	24.469236724933882	6.669384441726712	6.237891556271533	5.950662496290169	2.848706936298478	24.25836429129262	1.9714163111139689	23.369649623971736	2.2962054541952583	6.882908857797135	24.2695461443802	6.453592034181425	2.3019615465933767	24.005676579564277	6.869679082893999	23.982373125921697	6.536046307860791	0.35843260762022033	2.8890109996069824	23.30808039874134	0.44520472911592174	5.901037861766543
6.542160365409374	0.0	3.1139619252948343	2.8932328648034575	1.3737734093946996	7.456511819683178	8.404091935272058	0.5723167087765881	20.37462345712502	7.321620481525787	20.03850391557322	20.324992855915568	1.90935397129323	0.31948793017361987	1.8435379620981536	9.258004005758247	20.097341778932023	8.348077037493896	19.501975441743244	8.665914277110137	3.600077192868223	20.344847246444218	0.3417246931486835	8.507592020615826	20.0239511355088	3.931770223190182	20.105970337299784	1.410716859190334	6.846438597282731	9.309665012879588	19.45549333925244	6.930215853279559	1.957829038991102
6.655709471034889	3.1139619252948343	0.0	0.2674894226267712	1.80314478535535	7.728032075120439	8.848164915041625	2.5421888805054573	18.28306223391727	7.583097052332441	17.827022075444102	18.217903902702744	1.2418478910964856	3.1618066407063377	1.415300787972762	9.49248277897291	17.997647629736385	8.627092454937928	17.250224004175212	8.951424705558633	0.4925010208181107	18.126744731106083	3.41924929380832	8.936571365257597	17.83160771909269	0.8193182885023971	17.862902715316107	1.7136997887395515	7.0126047519898185	9.528429488813734	17.196200643632086	7.100336295861624	1.3416663299698595
6.740126800501162	2.8932328648034575	0.2674894226267712	0.0	1.6175844314773415	7.80728657417811	8.91942033142228	2.3237844063586595	18.31156582904992	7.662243202929667	17.870134578634232	18.248254926973825	0.9989321098485658	2.9579292514469366	1.2708276904655473	9.583715721456059	18.026922817086824	8.710797025261414	17.298087224389466	9.036165995409194	0.712089924360404	18.170924200169583	3.2057494685989205	9.009495164175787	17.872288508192177	1.061106200904434	17.910101779938984	1.4847017155310844	7.095552765712487	9.621075366897601	17.245004810785996	7.183621078239539	1.2145132205980964
6.0967409554162355	1.3737734093946996	1.80314478535535	1.6175844314773415	0.0	7.104772743925064	8.149049650180055	0.8188245894940713	19.672379238760936	6.962394057419603	19.275970169772563	19.614981071000038	0.7809040234249193	1.369791882579818	0.4725562066542707	8.920448030005492	19.390576513865568	8.016644874977679	18.71826926306751	8.342589891650762	2.295645791927562	19.579494188861773	1.6463783819679052	8.247242715983113	19.270984351675057	2.6060022315565474	19.32765536794326	0.4438329119710395	6.43282799733864	8.965796777347796	18.66790260108455	6.520510991328018	0.5892772594760612
1.0798544503688035	7.456511819683178	7.728032075120439	7.80728657417811	7.104772743925064	0.0	1.1458905700737554	7.387142085542584	25.612839554434466	0.14504589257670233	25.039114477787216	25.533675686911682	7.703652837157687	7.145070897308677	6.9831814065340545	1.8167307630171616	25.323518485033777	0.9127179321876225	24.425394409227778	1.239435551862986	7.960922244106063	25.326438362249867	7.3399330670897545	1.2230072695105347	25.064979090933157	7.949483495822905	25.03772290580967	7.54694444332263	0.7217012177083616	1.863911621175603	24.363314773475913	0.6367616483101821	6.938739221931658
2.2218822537651595	8.404091935272058	8.848164915041625	8.91942033142228	8.149049650180055	1.1458905700737554	0.0	8.378784126354299	26.757713731504168	1.2863913960999518	26.181521065140934	26.678320150528993	8.774845196413779	8.087791461127354	8.054235301505516	0.9741369981529457	26.468360074003463	0.4777727317227763	25.56694148956188	0.4838129151644328	9.091985932427061	26.46843810656123	8.260816402543094	0.10634603939689474	26.207928269684043	9.08732379430714	26.179086609625895	8.592726898761335	1.8652946582489125	1.03822023631778	25.504647726908786	1.7817700008878323	8.01569353550688
6.429076314892729	0.5723167087765881	2.5421888805054573	2.3237844063586595	0.8188245894940713	7.387142085542584	8.378784126354299	0.0	19.986656985792404	7.248538521691912	19.629278763844333	19.93426270323694	1.3478598823114005	0.6720781511698664	1.2913754496899421	9.200507928522729	19.707666133248917	8.290503580178704	19.085221062606642	8.612750486308768	3.029109937862289	19.93475915331138	0.8842593669787938	8.480392954926927	19.61804606405808	3.359665736507877	19.691306807640725	0.8464366095504944	6.748297582211848	9.249639344355119	19.037383641843142	6.834118465604446	1.4079753270320594
24.547552162392087	20.37462345712502	18.28306223391727	18.31156582904992	19.672379238760936	25.612839554434466	26.757713731504168	19.986656985792404	0.0	25.474715626364585	1.0923755436868259	0.1422494411846611	18.892846429533957	20.621047967836784	19.50170196569512	27.189197727228656	0.28986284007835716	26.43624834608079	1.6543972935441942	26.737379173817104	17.916507396687344	1.0881126480738028	20.702684996113646	26.829426989236293	0.9417149976830871	17.82855896131402	1.3417158648277792	19.303672495574027	24.898922254818057	27.208223524029986	1.7357926979996556	24.97993255454321	19.47952259225985
0.936647477960765	7.321620481525787	7.583097052332441	7.662243202929667	6.962394057419603	0.14504589257670233	1.2863913960999518	7.248538521691912	25.474715626364585	0.0	24.902714424462033	25.39575852405151	7.559712093734387	7.010720223615671	6.839296099229854	1.9582879410330032	25.185425909177212	1.0564608829119577	24.289464169555725	1.3833042777074545	7.816529471447323	25.190262214114274	7.2075104818459765	1.365351273352976	24.928261437890164	7.805870978840601	24.901883598675067	7.404418162291776	0.5790975733678249	2.0046804896517854	24.227495459601304	0.49546817949714494	6.794581522864635
