Topic,top_words,seed_coverage
0,"['muller', 'santa', 'fire', 'huskin', 'california', 'wildfire', 'home', 'los angeles', 'angeles', 'los']",0.3
1,"['fire', 'wildfire', 'california', 'los', 'los angeles', 'angeles', 'home', 'palisades', 'say', 'area']",0.3
