SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
HTTP://en.ce.cn/main/latest/202205/24/t20220524_37611553.shtml,['AFG'],['AFGHANISTAN'],[nan],['IMGMOSALQ'],['OSAMA BIN LADEN'],[190],[19],[190],[-10.0],[-8.31858407079642]
HTTP://en.ce.cn/main/latest/202206/11/t20220611_37745220.shtml,"['VEN', 'CUB', 'BLZGOV', 'BLZGOV', 'MED', 'MEX']","['VENEZUELA', 'CUBA', 'BELIZE', 'BELIZE', 'MEDIA', 'MEXICO']","[nan, nan, nan, nan, nan, nan]","['BLZGOV', 'BLZGOV', 'CUB', 'VEN', nan, 'SLV']","['BELIZE', 'BELIZE', 'CUBA', 'VENEZUELA', nan, 'EL SALVADOR']","[40, 40, 40, 40, 10, 125]","[4, 4, 4, 4, 1, 12]","[40, 40, 40, 40, 10, 125]","[1.0, 1.0, 1.0, 1.0, 0.0, -5.0]","[-4.27350427350427, -4.27350427350427, -4.27350427350427, -4.27350427350427, -4.27350427350427, -4.27350427350427]"
http://7thspace.com/headlines/1839076/rthk__abortion_rights_groups_kick_off__summer_of_rage_.html,['HRI'],['RIGHTS GROUP'],[nan],[nan],[nan],[111],[11],[111],[-2.0],[-5.95611285266458]
http://7thspace.com/headlines/1847172/u_s__citizen_and_four_chinese_intelligence_officers_charged_with_spying_on_prominent_dissidents__human_rights_leaders__and_pro_democracy_activists.html,['CRM'],['CRIMINAL'],[nan],[nan],[nan],[114],[11],[114],[-2.0],[-5.29953917050691]
http://7thspace.com/headlines/1847173/statement_on_the_fbi_response_to_the_shooting_in_buffalo__new_york.html,['USA'],['UNITED STATES'],[nan],[nan],[nan],[18],[1],[18],[3.4],[-4.14364640883978]
http://7thspace.com/headlines/1851747/federal_jury_convicts_high_level_isis_member_of_providing_material_support_to_a_foreign_terrorist_organization__including_two_counts_resulting_in_death.html,"['BRA', 'GOV', 'PAN']","['BRAZIL', 'AUTHORITIES', 'PANAMA']","[nan, nan, nan]","['PAN', nan, 'BRA']","['PANAMA', nan, 'BRAZIL']","[43, 70, 42]","[4, 7, 4]","[43, 70, 42]","[2.8, 7.0, 1.9]","[-3.39244410177332, -3.39244410177332, -3.39244410177332]"
http://7thspace.com/headlines/1859777/rthk__court_sets_date_for_weinstein_trial_in_los_angeles.html,['GBR'],['BRITAIN'],[nan],['USA'],['CALIFORNIA'],[173],[17],[173],[-5.0],[-9.95024875621886]
http://aero-news.net/AnnTicker.cfm?do=main.textpost&id=c43531b5-e89d-4bfa-85dd-dfffc3980f6b,"['KOR', nan, 'USAGOV', 'MNCUSA']","['SOUTH KOREA', nan, 'NASA', 'BOEING']","[nan, nan, nan, nan]","['BUS', 'BUS', 'MNCUSA', 'USAGOV']","['BUSINESS', 'BUSINESS', 'BOEING', 'NASA']","[43, 43, 43, 42]","[4, 4, 4, 4]","[43, 43, 43, 42]","[2.8, 2.8, 2.8, 1.9]","[0.87209302325581, 0.87209302325581, 0.87209302325581, 0.87209302325581]"
http://aero-news.net/GetMoreFromANN.cfm?do=main.textpost&id=7a19a6b0-331e-4c3b-80c2-121f02f9ffd1,"['MNCUSA', 'USAGOV', nan, 'KOR']","['BOEING', 'NASA', nan, 'SOUTH KOREA']","[nan, nan, nan, nan]","['USAGOV', 'MNCUSA', 'BUS', 'BUS']","['NASA', 'BOEING', 'BUSINESS', 'BUSINESS']","[42, 43, 43, 43]","[4, 4, 4, 4]","[42, 43, 43, 43]","[1.9, 2.8, 2.8, 2.8]","[0.87209302325581, 0.87209302325581, -1.21104952127496, 0.87209302325581]"
http://aero-news.net/annticker.cfm?do=main.textpost&id=7a19a6b0-331e-4c3b-80c2-121f02f9ffd1,"[nan, 'USAGOV', 'KOR', 'MNCUSA']","[nan, 'NASA', 'SOUTH KOREA', 'BOEING']","[nan, nan, nan, nan]","['BUS', 'MNCUSA', 'BUS', 'USAGOV']","['BUSINESS', 'BOEING', 'BUSINESS', 'NASA']","[43, 43, 43, 42]","[4, 4, 4, 4]","[43, 43, 43, 42]","[2.8, 2.8, 2.8, 1.9]","[0.87209302325581, 0.87209302325581, 0.87209302325581, 0.87209302325581]"
http://aero-news.net/emailarticle.cfm?do=main.textpost&id=c43531b5-e89d-4bfa-85dd-dfffc3980f6b,"['USAGOV', 'KOR', 'MNCUSA']","['NASA', 'SOUTH KOREA', 'BOEING']","[nan, nan, nan]","['MNCUSA', 'BUS', 'USAGOV']","['BOEING', 'BUSINESS', 'NASA']","[43, 43, 42]","[4, 4, 4]","[43, 43, 42]","[2.8, 2.8, 1.9]","[0.87209302325581, 0.87209302325581, 0.87209302325581]"
http://aero-news.net/subsite.cfm?do=main.textpost&id=c43531b5-e89d-4bfa-85dd-dfffc3980f6b,"['MNCUSA', 'KOR', 'USAGOV']","['BOEING', 'SOUTH KOREA', 'NASA']","[nan, nan, nan]","['USAGOV', 'BUS', 'MNCUSA']","['NASA', 'BUSINESS', 'BOEING']","[42, 43, 43]","[4, 4, 4]","[42, 43, 43]","[1.9, 2.8, 2.8]","[0.87209302325581, 0.87209302325581, 0.87209302325581]"
"http://aljazeerah.info/News/2022/May/7%20n/Violent%20Attacks%20in%20the%20Chilean%20Southern%20Macrozone%20Increased%20by%20169%20Percent%20in%20One%20Month,%20April%2028,%202022.htm",['GOV'],['UNDERSECRETARY'],[nan],['MIL'],['MILITARY'],[50],[5],[50],[3.5],[-4.56730769230769]
http://beniciaindependent.com/topics/march-for-our-lives/,"['USA', 'EDU']","['CHICAGO', 'STUDENT']","[nan, nan]","['EDU', 'CVL']","['STUDENT', 'VOTER']","[46, 42]","[4, 4]","[46, 42]","[7.0, 1.9]","[1.24610591900311, 1.24610591900311]"
http://bigtakeover.com/interviews/InterviewDuquetteJohnston,['USA'],['UNITED STATES'],[nan],[nan],[nan],[353],[3],[35],[7.0],[-1.50277392199516]
http://blogs.harvard.edu/socialpsy/,"['CAN', 'CANGOV']","['CANADIAN', 'CANADIAN']","[nan, nan]","['EDU', 'EDU']","['SCHOOL', 'SCHOOL']","[42, 42]","[4, 4]","[42, 42]","[1.9, 1.9]","[0.12642225031606, 0.12642225031606]"
http://blogs.seacoastonline.com/worklife/2022/06/01/how-the-construction-field-has-evolved-in-terms-of-worker-safety/,['LAB'],['WORKER'],[nan],[nan],[nan],[20],[2],[20],[3.0],[2.29681978798586]
http://blogs.southcoasttoday.com/greenside/2022/06/05/did-christain-bale-conquer-glamour-on-her-catwalks/,['CHE'],['BALE'],[nan],[nan],[nan],[138],[13],[138],[-7.0],[3.31325301204819]
http://bombmagazine.org/podcast,"['USA', 'USA']","['UNITED STATES', 'UNITED STATES']","[nan, nan]","['USAMED', 'MED']","['UNITED STATES', 'WRITER']","[20, 20]","[2, 2]","[20, 20]","[3.0, 3.0]","[3.06122448979591, 3.06122448979591]"
http://dagblog.com/comment/317113,"['COP', 'COP']","['POLICE', 'POLICE']","[nan, nan]","['EDU', 'USA']","['PROFESSOR', 'UNITED STATES']","[12, 12]","[1, 1]","[12, 12]","[-0.4, -0.4]","[-5.80256217030896, -5.80256217030896]"
