signal,cp,thr,rscores
dist_smooth_to_prev_smooth,"[10, 15, 31, 34]",0.6022403654536961,"[0.0, 0.0380809796031857, 0.07579565935547923, 0.1568906559115477, 0.17233662540780445, 0.01664068274963352, 0.0, -0.07804724115033547, 0.5993424064634638, 0.4871012679862185, 1.0125770098141453, 0.0, 0.0, -0.4464928458130331, 0.3303795359301613, 0.8176364323592308, 0.15653710106515398, -0.02595454509762838, 0.0776389133639666, 0.11298378308044685, 0.004099570092926658, -0.2537426515641854, -0.1397351739243191, -0.26499483925849826, -0.3350219212377902, 0.04369256275063183, 0.0, 0.0, -0.5346023420491829, -0.7188962852883415, -0.46219544196084944, 0.6138322014146249, 0.0, 0.4450834187314788, 1.373568008916485, 0.0, -0.21689669424846042, -1.280206578622155, -0.5866974415377645]"
n_docs,"[8, 10]",0.06264013749696556,"[0.0, -0.016769478367599493, 0.0, 0.05855841631395094, 0.059796064835497965, 0.0, -0.01758693302457947, -0.03899199137382395, 0.8426105871693609, 1.2001612219510995, 0.8624873748405224, 0.064534241180698, -0.02961444805119371, -0.099955597449637, -0.16670521093915386, -0.1817608302646651, -0.18465575839272555, -0.26656098276074713, -0.2346444051786157, -0.17097694020407309, -0.1485589477551642, -0.9997180572970542, -0.9463092436286628, -0.30044461027578645, -0.1647012426252853, 0.0, -0.026019755455428565, -0.032365984150948116, -0.12431682591461538, -0.05349595309108521, -0.022559976612707672, 0.030782995528960876, 0.0, 0.055985026208857765, 0.06216661157603244, -0.0024079424995170264, -0.016965716490189908, -0.05724487638166311, -0.040605528408027676]"
dispersion,"[8, 10, 24]",0.7598047908408965,"[0.0, -0.017128089790053258, 0.10350687962168668, 0.5053771994011504, 0.0, -0.13559254760414677, -0.15177846747472276, -0.1649428774140226, 0.9663236711678809, 0.9047612919680751, 0.8184571695740361, 0.0076898427427401096, -0.1323939166062215, -0.16453213901668068, -0.22336394651338803, -0.06349393720426441, -0.18725114061055753, -0.6064241980058701, -0.04336719501399425, 0.7451416961576113, 0.04898203163972494, -0.6638916506174838, -1.0220754683230622, 0.0, 0.9295293818564817, 0.6309227481679641, -1.0436801873186683, 0.0, -0.5796622019740361, 0.0, -0.324252586656681, 0.0, 0.058660150334981634, -0.28463231453205573, 0.0, -0.009603033851233296, 0.0, -0.0944730938102347, -0.12831483510902747]"
curvature,"[14, 16]",0.29855407793228994,"[0.0, 0.09276071958859948, 0.12853737787105823, 0.1230779808182341, 0.13796169765320734, 0.09331602324035504, 0.13856197019995461, 0.0816773594871388, -0.05792329378091974, -0.0625928395824275, 0.035637688127270986, 0.13575170821585938, 0.08870637744785202, 0.2699309592048419, 0.5375658110899046, 0.6043792027767239, 1.0383808844169717, 0.41304655284208025, 0.16157563995107727, 0.12343440161285792, 0.10069917219736958, 0.05416849910147666, 0.0, 0.02687998337167919, 0.03037043413137955, 0.0, 0.02496673515097243, 0.0, -0.19898702155211115, 0.0, 0.04339787758510142, 0.0, -0.0722245081363116, 0.0, 0.0, 0.011334149627102542, 0.014617971581722186, -0.01459291105374511, -1.0809274184366922]"
drift_from_baseline,"[29, 31, 34]",0.009376725558934564,"[0.0, -0.004985064652490865, -0.023067176048211246, -0.052003587655403, -0.07682664416802644, -0.08870231351539484, -0.09694596934394817, -0.10298012263393622, -0.178172286672748, -0.24060862754836237, -0.2813162059853656, -0.41099462346918264, -0.7566606841189943, -0.7637434262658273, -0.3813205205656673, -0.18984637012789943, -0.10045344557149541, -0.07327079072897898, -0.050197791558046004, -0.025475133484923588, -0.038667652959690074, -0.03239440009120426, -0.02930185578675311, -0.008629932429875153, 0.0, 0.006729510119157856, 0.004225844451941027, -0.0017060643055107618, 0.0, 0.018062641441235705, 0.004569380949473275, 0.011390855599680092, 0.008873193048748174, 0.008163755241951535, 0.020689910085536195, 0.01596211015550767, 0.0, -0.005957641043746767, -6.720614110856205e-06]"
