signal,cp,cp_shifted,thr,response_scores
dist_smooth_to_prev_smooth,"[7, 10, 30]",[ 0  3 23],1.726145158364627,"[0.0, 0.0, 0.03329161203495409, 0.11722458240860978, 0.1333828910115684, 0.4270379002637096, 0.8698813821870756, 2.494756927639697, 2.4884608689231493, 1.4086354769042317, 2.869855322923519, 1.843303606161026, 0.3188777167753426, 0.2896101898897712, 0.5636024626299516, 1.5185586865856142, 1.6036272338771451, 0.0, 0.070522184839742, 0.19722904477738326, 0.5737965336579052, 0.5780502670530359, 0.0, 0.9021711698322695, 0.4363975373700484, 0.20066749817807328, 1.2705721331265678, 1.4919153934648424, 0.3266769192414734, 0.7073021197665345, 1.7796471778781473, 1.6726431388511065, 0.051272676784594434, 0.19220605692390705, 0.28427354971776564, 0.08898990342979002, 0.75114209559, 1.1732123555074425, 0.2562292857749237, 0.31098060732610167, 0.777093970373875, 0.9686021944470707, 0.0, 0.24459618881994583, 0.8887371557836756, 0.656729940035956]"
n_docs,"[11, 14, 30, 37]",[ 4  7 23 30],1.490106601448348,"[0.0, 0.4405840886203425, 0.6419939577039272, 0.7716515609264853, 0.5594159113796575, 0.0, 0.3206243705941589, 1.332410876132931, 1.1918098690835852, 0.3240420543806639, 1.4551047411883178, 2.6746578110775423, 1.38443923979859, 1.4851948963705952, 2.0693240943371625, 0.0, 0.7960851075604114, 0.048260343659093166, 0.21996778203100945, 0.42773656197928916, 0.23712353385520524, 0.17140032396006905, 0.36640441354090797, 0.85798035198007, 0.0, 1.0747596442191605, 1.2422209346196655, 0.0, 0.15684321222274894, 1.0288164056823246, 2.2158338386386704, 1.719937966601029, 0.0, 0.08283317599450096, 0.28274189516141734, 0.0, 0.7481231500438865, 1.4950183065261005, 0.6367132474428546, 0.0, 0.3028336117198689, 0.6709816692730047, 0.16743039827965192, 1.089922388676259, 1.4087232463594122, 0.3087510039354659]"
dispersion,"[8, 10, 37]",[ 1  3 30],2.0067890444509953,"[0.0, 0.49885978043802576, 0.6647747658284732, 0.9186686683246063, 0.0, 0.5011402195619742, 0.6672884531883296, 1.064516975203407, 2.0255497973636545, 3.211837185968048, 5.793283139147092, 4.2223774092048965, 0.0, 0.4017500388084243, 1.2906956892710426, 1.9880282915383358, 1.9596102990437874, 0.2940543720918875, 0.0, 0.6919043600463517, 0.3214022189273082, 0.0, 0.0, 0.06581271987087119, 0.5196976813554132, 1.0020940598196075, 0.0, 0.4785220060602558, 0.2706601552494815, 0.4413280070993728, 0.0, 0.47059090081856836, 0.32695924110266217, 0.5623315290564285, 0.23648593682178695, 0.22370217570920276, 1.3285819673180903, 2.3717962565727806, 0.6526093214290929, 0.054316483654326043, 0.6941022176326674, 0.5516090480590014, 0.23776181793139892, 1.6164604103441598, 1.5519176558573389, 0.36451760321644466]"
curvature,"[9, 14, 20]",[ 2  7 13],3.001096257420121,"[0.0, 0.0, 1.8707393708123652, 0.8944549812443562, 0.794792035067753, 0.23952850887278926, 0.5869065488197031, 0.4105764439811541, 2.3911447604271334, 4.6061167679556085, 2.239270489478934, 0.0, 1.787860369013037, 2.2286897822931606, 3.8124769918407786, 3.869630062779351, 2.1160921512939206, 1.434369121886938, 0.9035799228894563, 1.1150313276205046, 3.611047754413109, 4.257562452021443, 0.0, 0.15342939819843965, 1.3900404644304605, 0.0899542936551472, 0.0, 1.1142414645095033, 0.25219351307302484, 1.2927299887128603, 0.0, 0.0, 0.32289510835136753, 0.421158010090335, 1.2074183284233564, 0.6808179188760757, 0.578841989909665, 0.0, 0.22215402918454596, 0.10696826363928051, 0.0, 0.0, 0.2891156130853203, 0.3355248498875395, 0.31906102791313673, 0.2982303494489506]"
drift_from_baseline,"[11, 25, 39]",[ 4 18 32],1.3292030452479178,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4893753747262178, 0.38665813476171185, 0.7490263519532372, 2.04101397443554, 1.9345218829219835, 0.969531645640686, 0.8072927874800562, 0.8024988075294228, 0.08774450003140184, 0.16317530508236694, 0.23030844325799985, 0.0, 0.42664367163346745, 0.9243869782194304, 0.6099763683807766, 0.0, 0.8271275499816385, 1.7022806233048215, 0.7808444830169793, 0.0, 0.15787070274822843, 0.6811675708215358, 1.2085995174578972, 1.2163750902657948, 0.7535746043304976, 0.3032721745272671, 0.17349359985975854, 0.3195507213016928, 0.5106246252737822, 0.7825300734260794, 1.133936246864516, 1.448601341902253, 1.4420310002300407, 1.0519275970578492, 0.7656283583181058, 0.6352030176678943, 0.4790404428217535, 0.24244742331444297]"
