day,EventCode_counts,count
-8,190,10
-8,193,17
-8,80,5
-8,51,2
-8,42,5
-8,30,2
-8,90,1
-8,10,7
-8,15,11
-8,138,1
-8,173,4
-8,11,1
-8,61,2
-8,874,4
-8,71,1
-8,46,3
-8,112,1
-8,180,1
-8,120,6
-8,43,6
-8,130,5
-8,60,3
-8,40,1
-8,182,2
-8,20,3
-8,84,1
-8,70,1
-7,170,1
-7,90,2
-7,13,1
-7,193,1
-7,110,1
-7,190,1
-7,42,1
-7,43,1
-7,51,1
-7,874,1
-6,10,4
-6,182,2
-6,1821,1
-6,13,1
-6,871,1
-6,153,1
-6,173,5
-6,42,1
-6,33,1
-6,20,1
-6,30,1
-6,144,1
-6,193,4
-6,12,1
-6,120,1
-6,90,1
-6,100,1
-6,51,2
-6,130,1
-6,180,5
-5,36,2
-5,130,2
-5,10,12
-5,90,7
-5,141,2
-5,40,3
-5,60,2
-5,42,6
-5,43,4
-5,20,2
-5,15,4
-5,190,7
-5,173,5
-5,193,1
-5,172,1
-5,111,4
-5,170,1
-5,51,4
-5,50,1
-5,30,1
-5,13,2
-5,110,2
-5,12,1
-5,1724,2
-4,190,7
-4,180,2
-4,10,8
-4,20,3
-4,112,1
-4,36,5
-4,43,4
-4,193,11
-4,80,1
-4,173,7
-4,182,1
-4,16,1
-4,42,3
-4,12,1
-4,172,1
-4,30,2
-4,51,1
-4,138,1
-4,71,1
-4,90,1
-4,874,1
-4,1712,4
-4,60,2
-3,192,1
-3,100,1
-3,18,2
-3,42,2
-3,110,3
-3,10,2
-3,90,6
-3,13,1
-3,111,1
-3,51,2
-3,30,2
-3,180,1
-3,1712,1
-3,40,1
-3,43,1
-3,20,2
-3,71,1
-2,1821,1
-2,190,5
-2,130,2
-2,110,1
-2,1712,1
-2,112,1
-2,55,1
-2,173,1
-2,90,2
-2,10,4
-2,120,1
-2,100,1
-2,12,1
-2,20,1
-2,15,2
-2,40,1
-2,22,1
-2,841,1
-2,51,1
-2,163,1
-2,32,1
-1,20,5
-1,40,1
-1,10,14
-1,60,1
-1,130,1
-1,180,3
-1,173,4
-1,42,6
-1,43,5
-1,112,1
-1,181,1
-1,193,4
-1,90,2
-1,15,2
-1,55,1
-1,871,2
-1,174,3
-1,30,1
-1,57,2
-1,114,1
-1,190,4
-1,111,1
-1,70,2
-1,26,1
-1,46,2
-1,84,2
-1,110,1
0,190,15
0,173,4
0,72,1
0,100,1
0,90,3
0,110,1
0,75,1
0,192,1
0,42,2
0,10,5
0,114,1
0,1383,2
0,182,3
0,112,1
0,14,1
0,150,2
0,141,2
0,12,1
0,73,1
0,138,2
0,51,1
0,31,1
0,43,1
0,1243,1
0,40,6
0,130,1
0,193,8
0,13,1
0,46,6
0,174,1
1,20,4
1,42,6
1,173,3
1,172,2
1,13,1
1,120,1
1,140,1
1,15,2
1,84,1
1,46,4
1,22,2
1,51,5
1,10,2
1,183,2
1,1123,1
1,12,1
1,36,2
1,43,1
1,1711,2
1,112,1
1,110,1
1,841,1
1,130,1
1,30,1
2,180,5
2,172,1
2,192,2
2,43,5
2,173,12
2,42,5
2,138,2
2,36,1
2,50,2
2,60,3
2,51,8
2,12,3
2,10,3
2,841,1
2,90,1
2,20,1
2,171,1
2,112,3
2,70,1
2,120,2
2,130,1
2,193,2
2,46,5
2,181,1
2,190,2
2,40,3
2,72,1
2,182,4
3,70,5
3,173,4
3,90,6
3,42,1
3,43,2
3,10,11
3,1124,1
3,41,2
3,20,6
3,111,1
3,193,9
3,138,1
3,71,1
3,112,3
3,12,1
3,110,2
3,128,2
3,60,2
3,30,4
3,51,2
3,180,2
3,190,2
3,40,4
3,172,2
3,141,2
3,55,4
4,36,4
4,180,3
4,80,4
4,13,1
4,173,2
4,10,3
4,120,1
4,11,1
4,124,1
4,190,2
4,30,3
4,17,3
4,42,6
4,43,7
4,172,3
4,182,1
4,25,1
4,20,2
4,114,2
4,234,3
4,83,2
4,14,1
4,50,1
4,60,1
4,112,1
5,71,2
5,173,4
5,40,4
5,46,1
5,81,1
5,12,2
5,20,7
5,13,2
5,26,2
5,50,1
5,51,2
5,163,2
5,60,3
5,42,7
5,43,5
5,90,1
5,192,1
5,193,3
5,110,1
5,190,1
5,10,1
5,195,2
6,190,5
6,90,2
6,1712,1
6,51,6
6,36,7
6,15,2
6,193,4
6,20,4
6,81,2
6,130,2
6,30,2
6,10,11
6,12,3
6,110,2
6,114,3
6,43,7
6,173,4
6,71,3
6,42,6
6,18,1
6,111,2
6,129,1
6,831,1
6,40,2
6,112,1
6,1053,1
6,171,1
6,181,1
6,60,1
6,214,1
6,13,2
7,46,2
7,20,13
7,111,4
7,1712,5
7,40,8
7,180,2
7,173,4
7,120,4
7,10,10
7,42,8
7,30,7
7,90,3
7,171,1
7,1821,1
7,112,2
7,61,1
7,130,4
7,13,7
7,43,6
7,190,9
7,72,2
7,12,4
7,51,6
7,153,2
7,56,1
7,193,4
7,25,1
7,131,1
7,71,1
7,874,1
7,100,1
7,194,1
7,36,1
7,181,1
7,174,2
8,1712,4
8,110,4
8,190,32
8,112,7
8,71,5
8,51,15
8,120,2
8,17,2
8,10,7
8,12,4
8,43,17
8,42,15
8,1383,1
8,40,4
8,30,4
8,70,6
8,111,6
8,13,4
8,20,3
8,46,3
8,180,1
8,874,1
8,173,6
8,84,1
8,32,2
8,154,1
8,1123,1
8,90,1
8,193,7
8,128,1
8,50,1
8,332,2
8,60,1
8,1243,1
8,174,2
8,80,4
8,36,4
8,130,2
8,57,2
8,161,1
8,153,1
8,241,1
8,100,1
8,1711,1
8,138,1
8,73,1
8,33,3
9,193,2
9,182,1
9,73,2
9,20,8
9,174,1
9,22,1
9,233,1
9,42,15
9,72,3
9,40,3
9,51,5
9,17,2
9,173,10
9,84,2
9,36,1
9,180,6
9,18,2
9,10,19
9,172,5
9,112,7
9,334,1
9,111,1
9,214,1
9,130,4
9,14,2
9,138,1
9,186,2
9,120,1
9,190,8
9,16,3
9,1124,1
9,23,3
9,43,8
9,46,2
9,25,1
9,116,1
9,60,2
9,1712,4
9,70,1
9,50,2
9,254,2
9,90,4
9,100,1
9,185,1
9,154,2
9,145,2
9,75,1
10,10,6
10,1712,8
10,145,1
10,130,1
10,70,1
10,30,1
10,36,1
10,13,1
10,112,2
10,90,1
10,71,2
10,42,7
10,46,1
10,51,3
10,80,2
10,841,1
10,114,1
10,174,1
10,173,2
10,20,4
10,190,4
10,43,7
10,100,3
10,72,3
10,40,4
10,57,2
10,18,4
10,193,4
10,241,1
10,32,1
10,160,2
11,111,3
11,43,3
11,100,2
11,12,1
11,190,5
11,26,1
11,10,8
11,13,7
11,145,1
11,120,1
11,1712,4
11,42,4
11,73,1
11,60,1
11,112,2
11,1014,1
11,193,3
11,173,2
11,1721,1
11,175,2
11,192,3
11,20,1
11,70,1
12,42,13
12,10,6
12,130,3
12,20,5
12,12,1
12,112,2
12,173,8
12,145,2
12,172,1
12,70,3
12,190,4
12,193,4
12,174,2
12,195,1
12,43,10
12,46,5
12,100,1
12,90,2
12,111,4
12,1313,1
12,52,1
12,51,4
12,160,1
12,60,2
12,40,3
12,50,1
12,113,1
12,1712,3
12,61,3
12,842,1
12,36,2
12,180,1
12,15,1
12,138,1
12,13,1
12,183,1
13,160,3
13,874,1
13,60,4
13,1053,1
13,50,1
13,1712,4
13,36,4
13,40,7
13,20,5
13,42,11
13,190,13
13,43,11
13,30,4
13,70,3
13,173,7
13,12,2
13,186,1
13,120,1
13,46,10
13,13,6
13,72,2
13,90,4
13,10,4
13,152,1
13,141,1
13,193,2
13,51,2
13,110,2
13,16,3
13,871,1
13,73,2
13,181,1
13,100,1
13,33,2
13,170,1
13,81,1
13,112,2
13,214,1
14,100,3
14,192,2
14,10,8
14,20,8
14,173,7
14,112,4
14,12,6
14,40,7
14,43,5
14,42,7
14,138,1
14,46,7
14,190,5
14,831,3
14,193,4
14,90,3
14,51,4
14,1724,1
14,181,3
14,874,1
14,311,1
14,145,1
14,15,3
14,13,4
14,180,1
14,120,1
14,130,2
14,36,2
14,71,2
14,186,1
14,84,2
14,1712,1
14,333,1
15,173,7
15,174,1
15,90,4
15,190,9
15,193,5
15,182,2
15,10,4
15,51,3
15,1123,3
15,43,4
15,42,4
15,72,1
15,232,1
15,20,3
15,70,1
15,50,1
15,1712,1
15,15,2
15,1121,3
15,114,1
15,160,1
15,71,2
15,143,2
15,13,3
15,60,3
15,112,3
15,172,3
16,10,3
16,72,3
16,81,1
16,51,3
16,231,1
16,1821,3
16,100,4
16,171,3
16,1043,1
16,141,1
16,23,1
16,130,1
16,192,1
16,1721,1
16,311,1
16,15,2
16,193,2
16,112,8
16,20,2
16,60,1
16,110,1
16,190,7
16,42,4
16,1712,1
16,43,4
16,173,4
16,841,1
16,16,1
16,84,1
16,71,1
16,55,1
16,36,1
16,14,1
16,871,1
16,138,1
16,111,1
16,180,1
16,90,2
17,172,3
17,20,2
17,30,2
17,10,5
17,17,2
17,841,5
17,190,5
17,100,1
17,173,3
17,84,2
17,1712,2
17,60,1
17,112,2
17,51,3
17,145,1
17,90,1
17,138,1
17,70,1
17,36,3
17,40,2
17,874,1
17,193,1
18,36,1
18,90,1
18,51,1
18,130,2
18,190,2
18,43,3
18,40,1
18,42,2
18,30,1
18,193,2
18,15,1
19,42,3
19,111,3
19,114,1
19,1124,1
19,20,1
19,12,4
19,51,3
19,190,10
19,112,4
19,138,1
19,40,2
19,70,1
19,173,2
19,192,2
19,10,4
19,130,4
19,14,1
19,90,2
19,43,1
19,193,6
19,80,3
19,100,1
19,120,2
19,174,1
19,110,1
20,14,2
20,1712,3
20,173,13
20,190,7
20,10,8
20,20,2
20,160,2
20,841,5
20,71,1
20,180,1
20,193,9
20,874,1
20,1243,3
20,51,8
20,84,6
20,13,2
20,42,4
20,43,4
20,80,1
20,46,4
20,100,3
20,60,2
20,213,1
20,36,3
20,120,1
20,111,1
20,75,1
21,10,17
21,51,8
21,193,6
21,80,9
21,180,2
21,15,5
21,36,4
21,190,5
21,42,2
21,60,2
21,120,1
21,30,8
21,173,2
21,112,4
21,90,1
21,11,4
21,1821,1
21,13,1
21,20,5
21,1721,1
21,40,4
21,84,2
21,12,1
21,138,1
21,23,1
21,841,2
21,110,1
21,111,1
21,213,2
22,13,2
22,12,2
22,40,5
22,180,1
22,173,7
22,190,18
22,120,1
22,84,4
22,90,3
22,10,15
22,51,6
22,112,1
22,60,4
22,193,8
22,1823,2
22,80,1
22,253,2
22,20,3
22,181,1
22,841,2
22,36,3
22,192,2
22,11,1
22,1821,1
22,73,2
22,183,2
22,182,1
22,130,1
22,154,1
22,72,2
22,164,1
22,71,2
22,15,1
22,82,1
22,172,1
22,111,2
22,46,4
22,1053,1
22,100,1
23,43,10
23,42,12
23,51,3
23,13,5
23,20,3
23,70,5
23,60,2
23,112,3
23,111,2
23,190,17
23,115,1
23,173,11
23,186,2
23,170,1
23,193,6
23,874,2
23,120,2
23,166,3
23,1821,1
23,128,2
23,10,7
23,180,5
23,80,2
23,71,1
23,46,2
23,14,1
23,160,2
23,12,2
23,36,2
23,110,1
23,130,1
23,191,3
23,50,1
23,40,1
23,114,1
23,90,1
24,20,5
24,16,4
24,193,8
24,190,5
24,90,2
24,15,3
24,51,3
24,43,1
24,42,1
24,120,3
24,173,3
24,10,4
24,110,2
24,192,2
24,70,1
24,40,6
24,130,1
24,180,5
24,60,1
24,112,1
24,46,2
24,100,3
24,111,2
24,30,1
24,36,2
24,13,1
24,14,1
25,42,1
25,46,1
25,181,1
25,15,1
25,111,2
25,100,1
25,130,1
25,10,11
25,13,3
25,173,1
25,20,4
25,190,1
25,90,2
25,71,2
25,112,3
25,1712,1
25,84,1
25,80,1
25,36,1
25,43,3
25,40,3
25,172,1
25,51,1
26,90,2
26,60,1
26,173,1
26,40,3
26,161,1
26,874,1
26,190,3
26,193,1
26,10,5
26,110,1
26,14,1
26,12,1
26,130,2
26,191,2
26,30,1
26,51,3
26,120,1
26,13,2
26,42,1
27,35,1
27,114,2
27,10,10
27,193,5
27,112,4
27,173,4
27,110,1
27,190,1
27,51,5
27,14,1
27,70,2
27,111,3
27,33,2
27,20,8
27,46,8
27,12,2
27,30,1
27,72,1
27,36,6
27,17,1
27,60,2
27,180,1
27,122,2
27,43,4
27,73,3
27,186,1
27,80,2
27,172,3
27,42,4
27,84,1
27,90,2
27,1241,1
27,150,1
27,841,1
27,234,1
27,141,3
27,71,1
27,130,1
28,43,10
28,42,9
28,40,6
28,51,4
28,112,7
28,13,3
28,174,3
28,190,4
28,30,1
28,115,2
28,100,1
28,181,2
28,20,4
28,10,11
28,12,4
28,173,9
28,120,1
28,36,3
28,110,1
28,193,7
28,46,3
28,172,4
28,80,1
28,11,2
29,172,1
29,130,3
29,51,8
29,173,8
29,120,5
29,80,7
29,40,3
29,162,1
29,20,3
29,181,1
29,10,6
29,43,8
29,42,9
29,190,6
29,16,2
29,13,4
29,60,2
29,12,3
29,311,1
29,134,1
29,110,1
29,138,1
29,114,3
29,15,1
29,842,1
29,193,3
29,90,2
29,1721,1
29,70,4
29,112,4
29,831,1
29,160,4
29,84,1
29,36,3
29,874,1
29,46,3
29,30,1
29,1823,2
29,1384,1
30,57,1
30,173,8
30,180,3
30,110,1
30,43,11
30,42,12
30,51,1
30,30,2
30,166,1
30,73,2
30,10,6
30,112,5
30,20,4
30,46,2
30,190,7
30,33,1
30,80,2
30,13,1
30,193,6
30,84,1
30,90,2
30,160,1
30,40,10
30,841,1
30,36,2
30,124,1
30,1123,4
30,15,2
30,113,1
30,171,2
