Topic,top_words,seed_coverage
1,"['police', 'fire', 'california', 'say', 'home', 'year', 'people', 'kill', 'los', 'los angeles']",0.2
0,"['destroy', 'russia', 'russian', 'read', 'farm', 'fire', 'chicken', 'police', 'department', 'say']",0.1
