SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
https://www.latimes.com/california/story/2023-08-16/camp-fire-survivors-offer-solace-advice-maui-fire,['CVL'],['COMMUNITY'],[nan],[nan],[nan],[231],[2],[23],[3.4],[-2.57171117705243]
https://www.latimes.com/california/story/2023-08-16/lahaina-maui-surfer-legend-archie-kalepa-volunteer-effort-supplies-survivors,"['USA', 'haw', 'GOV', 'GOV', 'MIL', 'MIL', 'ARG', 'CVL']","['HAWAII', 'HAWAIIAN', 'FIREFIGHTER', 'FIREFIGHTER', 'BATTALION', 'BATTALION', 'ARGENTINA', 'NEIGHBORHOOD']","[nan, 'haw', nan, nan, nan, nan, nan, nan]","['GOV', 'CVL', 'USA', 'USA', 'USA', 'USA', 'MIL', 'haw']","['FIREFIGHTER', 'NEIGHBORHOOD', 'UNITED STATES', 'UNITED STATES', 'UNITED STATES', 'UNITED STATES', 'BATTALION', 'HAWAIIAN']","[192, 42, 192, 192, 192, 192, 192, 43]","[19, 4, 19, 19, 19, 19, 19, 4]","[192, 42, 192, 192, 192, 192, 192, 43]","[-9.5, 1.9, -9.5, -9.5, -9.5, -9.5, -9.5, 2.8]","[-0.57240984544935, -0.558499000328485, -0.57240984544935, -0.57240984544935, -0.558499000328485, -0.558499000328485, -0.558499000328485, -0.558499000328485]"
https://www.latimes.com/california/story/2023-08-20/experts-say-hawaii-fire-could-happen-almost-anywhere,['CVL'],['RESIDENTS'],[nan],[nan],[nan],[80],[8],[80],[5.0],[-3.34951473101304]
https://www.latimes.com/entertainment-arts/story/2023-08-11/jason-momoa-maui-tourists-warning-wildfires,['USA'],['UNITED STATES'],[nan],['CVL'],['TOURIST'],[25],[2],[25],[-0.3],[-6.76691729323308]
https://www.latimes.com/entertainment-arts/story/2023-08-11/oprah-donates-supplies-maui-wildfire,"['BUS', 'haw', 'MED']","['BUSINESS', 'HAWAIIAN', 'MEDIA']","[nan, 'haw', nan]","['EDU', 'USA', 'CVL']","['SCHOOL', 'UNITED STATES', 'RESIDENTS']","[1712, 90, 311]","[17, 9, 3]","[171, 90, 31]","[-9.2, -2.0, 5.2]","[-4.34782608695652, -2.54760027884063, -2.54760027884063]"
https://www.latimes.com/environment/story/2023-08-11/how-did-climate-change-influence-catastrophic-hawaii-fire,['USA'],['UNITED STATES'],[nan],[nan],[nan],[130],[13],[130],[-4.4],[-6.10997963340122]
https://www.latimes.com/food/story/2023-08-14/want-to-donate-to-lahaina-fire-relief-efforts-start-with-these-l-a-restaurants,"['haw', 'USA']","['HAWAIIAN', 'HAWAII']","['haw', nan]","['USA', 'haw']","['HAWAII', 'HAWAIIAN']","[42, 43]","[4, 4]","[42, 43]","[1.9, 2.8]","[0.6233303650935, 0.6233303650935]"
https://www.latimes.com/opinion/story/2023-08-10/hawaii-maui-wildfires-needs-from-california-our-sister-state,['BUS'],['BUSINESS'],[nan],['EDU'],['SCHOOL'],[1712],[17],[171],[-9.2],[-4.62301662520357]
https://www.latimes.com/politics/story/2023-08-23/republican-debate-gop-takeaways-desantis-pence-ramaswamy-trump,['USA'],['MILWAUKEE'],[nan],['PTY'],['PRESIDENTIAL CANDIDATE'],[40],[4],[40],[1.0],[-3.95737420703097]
https://www.latimes.com/socal/daily-pilot/entertainment/story/2023-08-16/left-coast-luau-benefits-maui-strong-fund,"['USA', 'USACVL', 'USA', 'USACVL', nan]","['UNITED STATES', 'UNITED STATES', 'HAWAII', 'HAWAII', nan]","[nan, nan, nan, nan, nan]","[nan, 'USA', 'USACVL', nan, 'USACVL']","[nan, 'HAWAII', 'UNITED STATES', nan, 'HAWAII']","[231, 36, 36, 36, 36]","[2, 3, 3, 3, 3]","[23, 36, 36, 36, 36]","[3.4, 4.0, 4.0, 4.0, 4.0]","[3.67867867867868, 3.46862969147326, 3.6097773751405, 4.10363900246022, 2.7027027027027]"
